fills,effects,font,count
#118BEF~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,3
#FDAB14~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,3
GRADIENT_LINEAR(#01FFF7@0.4>#01FFF7@0.3),"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,3
GRADIENT_LINEAR(#86E8FF>#00A1FC)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,3
GRADIENT_LINEAR(#666666>#999999),,,3
#FE8E0D~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,3
#009CFC~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,3
GRADIENT_LINEAR(#FFD8BB@0.4>#F4805D@0.3),"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,3
#C27DFF,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,3
#FFFFFF~0.06,,,3
#FFFFFF~0.5 | #0088FF~0.95,,,3
#000000,,Inter 700 40.0,3
#E2F1FD,,,3
#007BE5,,DM Mono 500 40.0,3
#FFFFFF,"DROP_SHADOW r12.0 o0.0,0.0 #5ED5FE",Bai Jamjuree 600 32.0,2
#3057B6,,Bai Jamjuree 600 16.0,2
,"DROP_SHADOW r32.8 o4.0,4.0 #000000@0.63",,2
#3745AF,,Instrument Sans 600 32.0,2
#394050,,Inter 400 16.0,2
#F9FAFB,"DROP_SHADOW r17.9 o-4.0,4.0 s6.0 #000000@0.2",,2
IMAGE:e770c98e5a2c5046068cc1184571a71f3c1ee42c | #000000,,,2
IMAGE:04b7fb8a7a5e8744f28d5cb84967d217afd86886,,,2
IMAGE:d685ddc8c6f33805dd41686268c83cb6d4a27483,,,2
IMAGE:4f068f03865831961d08d6506fcb758d2c4b40cd,,,2
#E2E8F0,,JetBrains Mono 400 14.246013641357422,2
#E2E8F0,,JetBrains Mono 400 11.288070678710938,2
#E2E8F0,,JetBrains Mono 400 5.427637577056885,2
IMAGE:227bf1ad84f98f6acef905b3b60839ddb981baeb,,,2
#FFFFFF,,Instrument Sans 400 16.0,2
#E2E8F0,,JetBrains Mono 400 13.0,2
#5E9CFF,,,2
#F8CE46,,,2
#333B47,,,2
#AEB6FB,,,2
#292E37,,,2
#81A1B7,,Poppins 400 200.0,2
#4E61F6,,Bai Jamjuree 600 24.0,2
#131927,,Inter 400 12.0,2
#131927,,Inter 500 14.0,2
#131927,,Bai Jamjuree 600 10.0,2
#131927,,Bai Jamjuree 600 28.0,2
#3745AF,,Bai Jamjuree 600 48.0,2
#4E61F6,,Bai Jamjuree 600 48.0,2
#131927,,Inter 600 6.0,2
#000000~0.4,,,2
#7F8391,,Manrope 500 14.0,2
GRADIENT_LINEAR(#FFFFFF>#FFFFFF@0.0)~0.85,GLASS,,2
GRADIENT_LINEAR(#C8ECFF>#FFFFFF),GLASS,,2
#F2F6FD,GLASS,,2
#174293,,Manrope 500 12.0,2
#174293,,Manrope 800 20.0,2
#3057B6,,Manrope 500 12.0,2
#494949,,Manrope 700 18.0,2
#494949,,Manrope 400 10.0,2
#3057B6,,Manrope 600 12.0,2
#494949,,Manrope 600 14.0,2
#494949,,Manrope 400 8.0,2
#3057B6,,Manrope 700 10.0,2
GRADIENT_LINEAR(#97F8FF>#8EF3FF>#76E4FE>#4ECCFE>#18ABFC>#009CFC)~0.9,"BACKGROUND_BLUR r21.25 | INNER_SHADOW r1.42 o-0.7,-1.4 #FFFFFF@0.3 | INNER_SHADOW r1.42 o0.3,0.7 #FFFFFF@0.5",,2
GRADIENT_LINEAR(#DAA6FF@0.6>#DCA6FF@0.4),"GLASS | INNER_SHADOW r1.42 o0.7,1.4 #FFFFFF@0.4",,2
GRADIENT_LINEAR(#C99FFF>#BE85FF>#962AFF)~0.9,"BACKGROUND_BLUR r21.25 | INNER_SHADOW r1.42 o-0.7,-1.4 #FFFFFF@0.3 | INNER_SHADOW r1.42 o0.3,0.7 #FFFFFF@0.5",,2
#9043FF~0.9,"BACKGROUND_BLUR r21.25 | INNER_SHADOW r1.42 o-0.7,-1.4 #FFFFFF@0.3 | INNER_SHADOW r1.42 o0.3,0.7 #FFFFFF@0.5",,2
GRADIENT_LINEAR(#4EAEFE@0.2>#41A2FE@0.4),"GLASS | INNER_SHADOW r1.42 o0.7,1.4 #FFFFFF@0.4",,2
#153C88,,Inter 400 16.0,2
GRADIENT_LINEAR(#1B1F3E>#000318),,Bai Jamjuree 600 18.0,2
#0095FF,,Inter 600 16.0,2
IMAGE:3300f49432566f26c729116d46a6b9e200783b9e~0.4,,,2
#0095FF,,Inter 600 12.0,2
#FFFFFF,,Bai Jamjuree 600 48.0,2
#9EA2AE,,Inter 400 12.0,2
#EE443F,,Inter 600 16.0,2
#EE443F,,Inter 400 16.0,2
GRADIENT_LINEAR(#5685FF>#66FFD5)~0.4,LAYER_BLUR r21.96,,2
GRADIENT_LINEAR(#5685FF>#66FFD5)~0.7,LAYER_BLUR r21.96,,2
#FFFFFF,,Poppins 400 10.331770896911621,2
#FFFFFF,,Poppins 600 15.49765682220459,2
#FFFFFF,,Poppins 400 7.103092670440674,2
GRADIENT_LINEAR(#37D7A7>#F6FF93),,,2
GRADIENT_LINEAR(#5685FF>#66FFD5)~0.4,LAYER_BLUR r34.0,,2
GRADIENT_LINEAR(#5685FF>#66FFD5)~0.7,LAYER_BLUR r34.0,,2
#FFFFFF,,Poppins 400 16.0,2
#FFFFFF,,Poppins 600 24.0,2
#FFFFFF,,Poppins 400 11.0,2
GRADIENT_RADIAL(#339BFA>#FFFFFF),,,2
GRADIENT_LINEAR(#1F4380@0.0>#1F4380)~0.26,LAYER_BLUR r6.0,,2
GRADIENT_LINEAR(#1F4380@0.0>#1F4380)~0.83,LAYER_BLUR r6.0,,2
GRADIENT_LINEAR(#1F4380>#345C99)~0.34,LAYER_BLUR r6.0,,2
#65A3FF~0.84,,,2
GRADIENT_LINEAR(#579AFF>#97C0FF@0.739>#B6D3FF@0.61>#64A1FD),,,2
#646464,,,2
GRADIENT_LINEAR(#4071BA>#63A8FF),,,2
GRADIENT_LINEAR(#38589B>#6FB6FE),"INNER_SHADOW r4.0 o-3.0,1.0 #000000@0.25",,2
#000000,LAYER_BLUR r1.8,,2
GRADIENT_LINEAR(#FFFFFF@0.0>#FFFFFF@0.7),LAYER_BLUR r3.1,,2
GRADIENT_LINEAR(#6EB5FD>#3564BB),,,2
GRADIENT_LINEAR(#7DB3FF>#FFFFFF@0.0)~0.34,LAYER_BLUR r4.0,,2
GRADIENT_LINEAR(#FFFFFF@0.0>#B9B9B9),LAYER_BLUR r11.3,,2
GRADIENT_LINEAR(#7DEDFF>#67A7F8),LAYER_BLUR r8.7,,2
#C0C0C0 | GRADIENT_LINEAR(#5F5A5A>#A9B0AD>#798170>#C7F2FA>#625B4F>#76786B),,,2
GRADIENT_LINEAR(#668FFF>#3D5699),,,2
GRADIENT_LINEAR(#7DB3FF>#FFFFFF@0.0)~0.44,LAYER_BLUR r68.4,,2
GRADIENT_LINEAR(#FFFFFF@0.0>#FFFFFF)~0.39,LAYER_BLUR r3.1,,2
GRADIENT_LINEAR(#ADADAD>#F4F4F4>#FFFFFF>#7DEDFF),,,2
,"INNER_SHADOW r11.3 o-4.0,-2.0 #000000@0.25 | INNER_SHADOW r4.0 o2.0,-1.0 #FFFFFF@0.25",,2
GRADIENT_LINEAR(#FFFFFF>#C5C5C5),,,2
GRADIENT_LINEAR(#D9D9D9@0.5>#737373),LAYER_BLUR r6.9,,2
GRADIENT_LINEAR(#4374FA>#3D69EB>#264886),,,2
GRADIENT_LINEAR(#FFFFFF@0.0>#414141),LAYER_BLUR r7.8,,2
GRADIENT_LINEAR(#FFFFFF)~0.27,LAYER_BLUR r4.4,,2
GRADIENT_RADIAL(#FFFFFF>#FFFFFF@0.0)~0.47,LAYER_BLUR r5.0,,2
GRADIENT_RADIAL(#FFFFFF>#FFFFFF@0.0)~0.1,LAYER_BLUR r4.0,,2
GRADIENT_LINEAR(#FFFFFF>#FFFFFF@0.0)~0.04,LAYER_BLUR r4.0,,2
#B0B1AD | GRADIENT_LINEAR(#5F5A5A>#A9B0AD>#798170>#C7F2FA>#625B4F>#76786B),"INNER_SHADOW r4.0 o3.0,-1.0 #000000@0.25 | DROP_SHADOW r2.1 o-2.0,0.0 #000000@0.25",,2
GRADIENT_RADIAL(#4D8AFE>#1F4286),"INNER_SHADOW r3.5 o4.0,2.0 #000000@0.26",,2
GRADIENT_LINEAR(#FFFFFF>#FFFFFF@0.0)~0.74,LAYER_BLUR r7.5,,2
GRADIENT_LINEAR(#7DEDFF>#67A7F8),LAYER_BLUR r15.7,,2
GRADIENT_LINEAR(#668FFF>#3D5699),"INNER_SHADOW r4.0 o0.0,-1.0 #000000@0.25",,2
GRADIENT_LINEAR(#F9F9F9>#939393),,,2
GRADIENT_LINEAR(#FFFFFF@0.0>#B9B9B9)~0.64,LAYER_BLUR r11.3,,2
GRADIENT_LINEAR(#7DB3FF>#FFFFFF@0.0)~0.53,LAYER_BLUR r34.8,,2
GRADIENT_LINEAR(#7DB3FF@0.68>#FFFFFF@0.0)~0.06,LAYER_BLUR r4.0,,2
GRADIENT_LINEAR(#FFFFFF@0.0>#FFFFFF)~0.67,LAYER_BLUR r3.1,,2
GRADIENT_LINEAR(#214271>#FFFFFF@0.0),LAYER_BLUR r4.0,,2
GRADIENT_LINEAR(#F1F1F1>#B1B1B1),,,2
GRADIENT_LINEAR(#5F5A5A>#A9B0AD>#798170>#C7F2FA>#625B4F>#76786B),,,2
GRADIENT_LINEAR(#FDFCF1>#FFFFFF>#D9D9D9>#737373),,,2
GRADIENT_LINEAR(#FFFFFF>#FFFFFF@0.0),LAYER_BLUR r4.0,,2
GRADIENT_LINEAR(#FFFFFF@0.0>#FFFFFF),LAYER_BLUR r3.1,,2
GRADIENT_LINEAR(#FFFFFF@0.0>#FFFFFF)~0.87,LAYER_BLUR r3.1,,2
#000000,LAYER_BLUR r3.1,,2
GRADIENT_LINEAR(#FFFFFF>#EAEAEA),"INNER_SHADOW r5.5 o0.0,-6.0 #7B7B7B@0.25",,2
GRADIENT_LINEAR(#79DDFE>#579AFF>#345C99),,,2
GRADIENT_LINEAR(#FFFFFF@0.0>#CDCDCD),LAYER_BLUR r3.7,,2
GRADIENT_LINEAR(#7DEDFF>#67A7F8),"INNER_SHADOW r4.0 o2.0,-2.0 #000000@0.1",,2
GRADIENT_LINEAR(#7DEDFF>#67A7F8),LAYER_BLUR r6.1,,2
#FFFFFF~0.78,LAYER_BLUR r6.1,,2
GRADIENT_LINEAR(#FFFFFF@0.0>#0A87FA)~0.27,LAYER_BLUR r9.3,,2
GRADIENT_LINEAR(#7DB3FF>#FFFFFF@0.0)~0.73,LAYER_BLUR r6.9,,2
GRADIENT_LINEAR(#7DB3FF>#FFFFFF@0.0)~0.34,LAYER_BLUR r5.8,,2
GRADIENT_LINEAR(#B9B9B9>#FFFFFF@0.0)~0.34,LAYER_BLUR r12.0,,2
#3F50FF~0.95 | IMAGE:797d52bd562830069a340dca677816b27ddfadbc | GRADIENT_RADIAL(#001A33@0.75>#000D19),,,2
#55B9FF,,,2
#02AF64~0.4,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,2
#67CADD~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,2
#FE910D~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,2
GRADIENT_LINEAR(#97F8FF>#89F0FF>#40C3FD>#12A7FC>#009CFC)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,2
GRADIENT_LINEAR(#009CFC>#4ECCFE),,,2
GRADIENT_LINEAR(#1476ED>#1476ED@0.0),,,2
GRADIENT_LINEAR(#F4805D@0.3>#FFFFFF@0.4),"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,2
GRADIENT_LINEAR(#FCE724>#FCE022>#FCCC1D>#FDAC15>#FE8009>#FE7D08)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,2
#5CDE45~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,2
GRADIENT_LINEAR(#B8FFFB@0.4>#01FFF7@0.4),"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,2
GRADIENT_LINEAR(#999999>#666666),,,2
#C7A4E1~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,2
GRADIENT_LINEAR(#009CFC>#97F8FF)~0.9,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,2
GRADIENT_LINEAR(#FCE724>#FCE022>#FCCC1D>#FDAC15>#FE8009>#FE7D08)~0.9,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,2
#FFFFFF~0.9,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,2
#C99FFF~0.9,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,2
GRADIENT_LINEAR(#FFA4F9>#FF98F4>#FF77E8>#FF42D4>#FF01BB)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,2
GRADIENT_LINEAR(#FFA4F9>#FF86EE>#FF4DD8>#FF24C8>#FF0ABF>#FF01BB)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,2
GRADIENT_LINEAR(#FFA4F9>#FF59DC>#FF1AC4>#FF01BB)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,2
#0060FD,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,2
GRADIENT_LINEAR(#FFFFFF>#278EFF)~0.2,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,2
#B7E4FF~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,2
GRADIENT_LINEAR(#FFA4F9>#FF5DDE>#FF01BB)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,2
GRADIENT_LINEAR(#DCA6FF@0.4>#DAA6FF@0.6),"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,2
#0576E5~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,2
#00BFBF~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,2
GRADIENT_LINEAR(#FE7D08>#FDA513>#FDC91C>#FCDF22>#FCE724)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,2
#1D9DFC,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,2
GRADIENT_LINEAR(#97F8FF>#8EF2FE>#76E2FB>#4EC7F6>#18A3F0>#0093ED)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,2
#0093ED~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,2
GRADIENT_LINEAR(#FFFFFF@0.8>#FFFFFF@0.8)~0.8,,,2
GRADIENT_LINEAR(#FFFFFF>#FFFFFF@0.0),"LAYER_BLUR r0.23 | DROP_SHADOW r0.12 o0.0,0.2 #000000@0.1",,2
GRADIENT_LINEAR(#FFFFFF@0.8>#FFFFFF@0.8)~0.8,"INNER_SHADOW r1.86 o0.0,-0.8 #FFFFFF@0.15",,2
GRADIENT_LINEAR(#FFFFFF>#FFFFFF@0.0),LAYER_BLUR r0.23,,2
#F6F6F4,,,2
,"DROP_SHADOW r1.17 o0.3,0.2 #000000@0.12 | LAYER_BLUR r0.46",,2
,LAYER_BLUR r0.84,,2
#FFFFFF,,SF Pro 700 14.960262298583984,2
#FFFFFF,,SF Pro 700 26.59602165222168,2
#B4AD98 | IMAGE:74938e2f7c792064075dae1dd6a4cb6be5122caf~0.3 | IMAGE:edc7c6d7db7937efdd4952f6296bfe02330d5ab4~0.2,"INNER_SHADOW r4.0 o0.0,0.0 s6.0 #000000@0.3 | INNER_SHADOW r1.0 o0.0,0.0 s2.0 #000000@0.15",,2
#454C60 | IMAGE:74938e2f7c792064075dae1dd6a4cb6be5122caf~0.3 | IMAGE:edc7c6d7db7937efdd4952f6296bfe02330d5ab4~0.2,"INNER_SHADOW r3.0 o0.0,0.0 s6.0 #000000@0.3 | INNER_SHADOW r1.0 o0.0,0.0 s2.0 #000000@0.4",,2
#454545 | IMAGE:74938e2f7c792064075dae1dd6a4cb6be5122caf~0.3 | IMAGE:edc7c6d7db7937efdd4952f6296bfe02330d5ab4~0.2,"INNER_SHADOW r3.0 o0.0,0.0 s6.0 #000000@0.3 | INNER_SHADOW r1.0 o0.0,0.0 s2.0 #000000@0.4",,2
#0D99FF,,,2
#003F6B,,Bai Jamjuree 500 48.0,1
#153C88,,Bai Jamjuree 600 24.0,1
#353535,,,1
,"DROP_SHADOW r18.17 o2.2,2.2 #000000@0.63",,1
,"DROP_SHADOW r19.39 o2.4,2.4 #000000@0.63",,1
#6F6F6F,,,1
#E7F5FE~0.8,BACKGROUND_BLUR r11.9,,1
#FFAA00,,Manrope 600 14.0,1
#3745AF,,Bai Jamjuree 600 18.0,1
#D1D1D1,,,1
#0095FF,,Bai Jamjuree 600 10.0,1
IMAGE:73eec6dd7283b2477fefe82704ed4e09ff34509c | #000000~0.4,,,1
#394050,,Inter 400 14.0,1
IMAGE:6d85b9ff8507a02335940843a416a8d6231b6cac,,,1
IMAGE:49d476cf082dea5a107348de3f3c7cbdc48a2404,,,1
IMAGE:cdaf2ba9af12cd86eb7072e8ffb5f0ad4bd22f10,,,1
IMAGE:6fa4259e799eeb1cdac4542df9423d16a00051e9,,,1
IMAGE:5ef9cf50427ffa350100541b785e476b96265090,,,1
IMAGE:a9d28a1d15dfbffd226c3b9db22ea3135638c1d3,,,1
IMAGE:29367799996a7ab7113494da903a6dca8ccf34a6,,,1
IMAGE:2b352ffe0beb2cd8216f03370e31515222bf75cf,,,1
IMAGE:fce93e658d581addcaf5a2d1788d36007bbed7af,,,1
#11162B,"DROP_SHADOW r26.3 o0.0,13.2 #0F172A@0.149",,1
#5D45F9,"DROP_SHADOW r17.53 o0.0,11.0 #4F46E5@0.251",,1
#FFFFFF,,Instrument Sans 700 17.533554077148438,1
#FFFFFF,"DROP_SHADOW r17.53 o0.0,8.8 #6366F1@0.071",,1
#000000,,Instrument Sans 700 28.492027282714844,1
#1E293B,,Instrument Sans 700 13.150166511535645,1
#11162B,"DROP_SHADOW r20.84 o0.0,10.4 #0F172A@0.149",,1
#5D45F9,"DROP_SHADOW r13.89 o0.0,8.7 #4F46E5@0.251",,1
#FFFFFF,,Instrument Sans 700 13.893009185791016,1
#FFFFFF,"DROP_SHADOW r13.89 o0.0,6.9 #6366F1@0.071",,1
#000000,,Instrument Sans 700 22.576141357421875,1
#1E293B,,Instrument Sans 700 10.419757843017578,1
#D2D5DB,,Bai Jamjuree 600 14.0,1
#11162B,"DROP_SHADOW r10.02 o0.0,5.0 #0F172A@0.149",,1
#5D45F9,"DROP_SHADOW r6.68 o0.0,4.2 #4F46E5@0.251",,1
#FFFFFF,,Instrument Sans 700 6.680169105529785,1
#FFFFFF,"DROP_SHADOW r6.68 o0.0,3.3 #6366F1@0.071",,1
#000000,,Instrument Sans 700 10.85527515411377,1
#1E293B,,Instrument Sans 700 5.010127544403076,1
#838383,,,1
#E5DED8,,,1
#E4DDD7,,,1
IMAGE:cedd0b0eff5c8e9e787e08fdca277479081b2851,,,1
IMAGE:f160598af438df282b731f1cd5ca33b137394952,,,1
IMAGE:df5bbb2c06dde8d56c71e95cf76f586ff3453191,,,1
IMAGE:0ac7702da6b415fbbb9cd33554c4c4740a797928,,,1
IMAGE:cf706befdf5cea3a19afa58f8b4245d9aee3541a,,,1
IMAGE:fdd859214dd47aedc59a8f9f1d1fc1390cd16d22,,,1
IMAGE:0aa2026c11e3b278a96d63e27d44c05df0ea9cee,,,1
IMAGE:1b7c1a01ba18f523658c9ef4da30db6ab6b4b79c,,,1
IMAGE:41d48892c579c942498f0750665d6493fec7593a,,,1
IMAGE:b3adfa71733c711dfb2b075c4e394b82010d1835 | GRADIENT_LINEAR(#000000@0.0>#00031E@0.95),,,1
IMAGE:76fc238e237ede899c2e9393ca6f6fbfd365a3bb | GRADIENT_LINEAR(#000000@0.0>#00031E@0.95),,,1
IMAGE:f464563f96bd0a857496574d1598c78175acc83f | GRADIENT_LINEAR(#000000@0.0>#00031E@0.95),,,1
IMAGE:cb56e50e04c3d3747d6def06c253a19546ebd829 | GRADIENT_LINEAR(#000000@0.0>#00031E@0.95),,,1
IMAGE:26d8f964bf03d405160088187c7537732619b241,,,1
IMAGE:e38a1e7ca83670fd0cfdc20df19e3a092975b01d,,,1
IMAGE:4b32239ed5a726292f7717fb43830b13bb4a3188,,,1
IMAGE:2481545f4cc6e4104549af3eaac38b2ee01b0507,,,1
IMAGE:ab090fb7ebd411435a56bb2ef7dade4d7581e16f,,,1
IMAGE:a6cda12ab2523b620f04477c708bc6372296af9c,,,1
#000000,,Instrument Sans 600 33.87889862060547,1
#000000,,Instrument Sans 400 24.0,1
#E0EAF7,,,1
IMAGE:6d4909a46d835f79280232d5efa8fc2192cf92c7,,,1
IMAGE:fc69b32132826e519c9f5d92df3e4efb858b4905,,,1
IMAGE:da89351ffa46a57a8144ed76bbcdb512ed91744b,,,1
IMAGE:351d4eecaa5cac0b70b14580ce59875814d26fea,"DROP_SHADOW r4.0 o0.0,4.0 #000000@0.25",,1
IMAGE:b2211bdf79a13ce3b031804dc3e3d2635cd97561~0.7,,,1
#2B2A2D,"DROP_SHADOW r32.79 o0.0,16.4 #0F172A@0.18",,1
#FFFFFF,,Instrument Sans 600 16.0,1
#2B2A2D,"DROP_SHADOW r36.41 o0.0,18.2 #0F172A@0.18",,1
#FFFFFF,,Instrument Sans 600 15.0,1
IMAGE:ed7fbaa86255ad0e5c9ef2b57f9e0094547091f7 | IMAGE:ed7fbaa86255ad0e5c9ef2b57f9e0094547091f7 | IMAGE:ed7fbaa86255ad0e5c9ef2b57f9e0094547091f7 | IMAGE:ed7fbaa86255ad0e5c9ef2b57f9e0094547091f7,,,1
#4A4C50,,Instrument Sans 600 15.0,1
#FFFFFF,,Instrument Sans 500 15.0,1
#056BF1,,Instrument Sans 600 64.0,1
#056BF1,,Instrument Sans 600 56.0,1
#E8EBFF,LAYER_BLUR r80.0,,1
#11162B,"DROP_SHADOW r24.0 o0.0,12.0 #0F172A@0.149",,1
#FFFFFF,"DROP_SHADOW r16.0 o0.0,8.0 #6366F1@0.071",,1
#000000,,Instrument Sans 700 26.0,1
#1E293B,,Instrument Sans 700 12.0,1
#5D45F9,"DROP_SHADOW r16.0 o0.0,10.0 #4F46E5@0.251",,1
#FFFFFF,,Instrument Sans 700 16.0,1
#AEB6FB,,Poppins 700 200.0,1
#0099FF,,Poppins 700 200.0,1
#131927,,Inter 500 10.0,1
#131927,,Bai Jamjuree 600 12.0,1
#131927,,Bai Jamjuree 600 40.0,1
#131927,,Bai Jamjuree 600 14.0,1
#131927,,Inter 600 16.0,1
#131927,,Inter 600 12.0,1
#000000~0.9,,,1
#000000~0.8,,,1
#000000~0.7,,,1
#000000~0.5,,,1
#000000~0.3,,,1
#000000~0.2,,,1
#000000~0.1,,,1
#FFFFFF~0.9,,,1
#FFFFFF~0.5,,,1
#FFFFFF~0.3,,,1
#FFFFFF~0.2,,,1
#FFFFFF~0.1,,,1
#7181F8,,,1
#8895F9,,,1
#212936,,,1
#394050,,,1
#4D5461,,,1
#1C4D27,,,1
#256533,,,1
#308242,,,1
#3DA755,,,1
#69C57D,,,1
#81CF92,,,1
#A9DEB4,,,1
#C5E9CD,,,1
#641D1A,,,1
#832523,,,1
#A9302D,,,1
#D93E39,,,1
#F4827E,,,1
#F7A9A7,,,1
#FAC5C3,,,1
#6B4700,,,1
#8C5E00,,,1
#B57900,,,1
#E89B00,,,1
#FFBB33,,,1
#FFC654,,,1
#FFD88A,,,1
#FFE5B0,,,1
#003F6B,,,1
#00528C,,,1
#006AB5,,,1
#0088E8,,,1
#33AAFF,,,1
#C0C0C0,,,1
#C3C3C2,,,1
IMAGE:5a71e13257a04faf383e709f52fe1f80026041b9,,,1
IMAGE:edd611fdf9e086d81b8b1756b203815eff77db54 | GRADIENT_LINEAR(#002C85@0.0>#241D74)~0.5,,,1
#17A5FE,,Manrope 500 20.0,1
#17A5FE,,Manrope 800 30.0,1
#153C88,,Manrope 500 20.0,1
#153C88,,Manrope 800 30.0,1
#3D5AF1,,Manrope 500 20.0,1
#3D5AF1,,Manrope 800 30.0,1
#394050,,Manrope 500 14.0,1
#174293,,Manrope 500 20.0,1
#174293,,Manrope 800 30.0,1
#3057B6,,Manrope 500 14.0,1
#17A5FE,,Manrope 500 12.0,1
#17A5FE,,Manrope 700 20.0,1
#7F8391,,Manrope 500 12.0,1
#25A2CC,,Manrope 500 12.0,1
#25A2CC,,Manrope 700 20.0,1
#09799F,,Manrope 500 12.0,1
#0095FF,,Inter 600 18.0,1
GRADIENT_LINEAR(#B0DEFF@0.3>#FFFFFF),"DROP_SHADOW r4.0 o0.0,4.0 #000000@0.25",,1
