fills,effects,font,count
#FFFFFF,"DROP_SHADOW r32.0 o0.0,10.0 s-4.0 #131927@0.1 | DROP_SHADOW r14.0 o0.0,6.0 s-6.0 #131927@0.12",,17
GRADIENT_LINEAR(#4EAEFE@0.2>#41A2FE@0.4),"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,17
,"GLASS | INNER_SHADOW r1.0 o0.5,1.0 #FFFFFF@0.4",,17
GRADIENT_LINEAR(#009CFC>#18ABFC>#4ECCFE>#76E4FE>#8EF3FF>#97F8FF)~0.9,"BACKGROUND_BLUR r15.0 | INNER_SHADOW r1.0 o-0.5,-1.0 #FFFFFF@0.3 | INNER_SHADOW r1.0 o0.2,0.5 #FFFFFF@0.5",,17
#FFFFFF,,Inter 600 12.0,16
#339BFA,LAYER_BLUR r32.8,,16
#4E61F6,,Inter 600 14.0,15
GRADIENT_RADIAL(#62D1EA>#62D1EA@0.89>#62D1EA@0.58>#62A4EA@0.33>#62D1EA@0.15>#62D1EA@0.04>#62D1EA@0.0),,,15
GRADIENT_RADIAL(#002570>#62B1EA@0.89>#62B1EA@0.58>#62D1EA@0.33>#62D1EA@0.15>#62D1EA@0.04>#62D1EA@0.0),,,15
#E7F5FE,,,14
GRADIENT_LINEAR(#C8ECFF>#FFFFFF)~0.5,BACKGROUND_BLUR r11.9,,14
#FFFFFF,,Inter 500 14.0,14
#3BB4FF,,,14
#444444,,,13
#131927,,Inter 600 18.0,13
#000000,,Instrument Sans 400 20.0,13
#FDECEC,,,12
IMAGE:143213e83991d6be23001875a50e1f9fe51bab46,,,12
IMAGE:30e093d5f224835a43318c3227a416eb4748c44b,,,12
IMAGE:f8b711e7f3495a54c061e57346e4e7bfbd7d9a4a,,,12
#000000~0.0,,,12
IMAGE:84fe06f866459a500b56fec7a179a7722ce6b5dd,,,12
#2B3587,,,12
#131313,,Poppins 400 7.748828411102295,12
#131313,,Poppins 400 12.0,12
#F8F6EB,,,12
#056BF1,,Inter 400 24.0,11
#FFFFFF,,Inter 600 10.0,11
#9EA2AE,,Inter 400 10.0,11
IMAGE:aec33afc28aba82077d61bfde811663f1808d835,,,10
#09090A,,,10
#1E293B,,,10
#0F172A,,,10
GRADIENT_LINEAR(#FFFFFF@0.08>#FFFFFF@0.0>#000000@0.0),,,10
IMAGE:5028c4f784558e9ce09db3c43f86c285b0b99d7a,,,10
