id,name,description,component_set_id,key
78:1332,warning-square,,,a65f1a11ba85c9786c461af706c46b7df2e0c420
78:1336,upload-square,,,de1999f44945d53752da9b9cb27c73f5a848bb60
78:1340,eye-alt,,,8627f722411ad96600ce52282294c3f81c721917
78:1343,line-space,,,4eaa780669da998cdbb641248d2e942291880833
78:1349,wrap-text,,,460ce6eea2f29b3375619e76c33d060ab5e64dab
78:1354,eye-off,,,5f8e3ef7f81b0806899eeb8d4a21ad8c41f2c116
78:1359,question-mark,,,ab9304dca84f419e3749611a6ca5e901e6b4ec7f
78:1362,help-circle,,,5297f1f387ac486f385c8097c534036fbd424edd
78:1366,prohibition,,,cb5460317d2208129f9923fd32c8d84601260e20
78:1368,refresh-circular,,,3b9e9364594d31ce015315ce17c263f86cc08e1e
78:1374,help-square,,,cb6a58795eec5b8d2607b3d0f1ad90e893f5b238
78:1378,save-action-floppy,,,686a17dd930f9aed14e6d4e08e4ec6594ee4e76f
78:1385,load-action-floppy,,,f6ba38f9c58faa5faa38d53629df79bf4f36e28c
78:1391,open-in-window,,,58d97d7ad02f2899eeeeb7a96ab42eaae7acd3fb
78:1394,trash,,,1af9935a83f1fc8aca46575e0e087a7aa002bda0
78:1397,eye-close,,,d7713d8b2665834cb466adfd15f857904b636841
78:1403,open-in-browser,,,48385a48fe436555b0e2836a0524b0e55719884b
78:1408,restart,,,bd0fe4ec5cd12048a615c5f783fe9c1552d4faf0
78:1412,open-new-window,,,a10a1f7f04ce25389f3b23c98ce22f1ce704a325
78:1415,paste-clipboard,,,dd90f77d57248913e7984f41389debaf84aa3df7
78:1418,clipboard-check,,,5bf8cf8bb45d65e4ebd1e1102e42c40abb8387ad
78:1423,erase,,,c9bf497ca5138f0d0d13b964a3df9fd4097737ef
97:1285,percentage-circle,,,c9c60fd6bb80041bd3bdd19338d3dbbc2c34a6db
97:1290,percentage-square,,,4411634363cf7b394d32045ac9109a3fc9c282b5
97:1295,percentage,,,35bc59a647c35e57dc1e4f7a1a057b637f9fd0c3
97:1301,graph-up,,,5fa703f5c47bcaebe0da4bb7c0ba7f2a9d681a7f
97:1304,graph-down,,,970329f3c454e6e67f44c8c60669d52c769996d2
97:1307,stats-up-square,,,1a6bf7afdbc5361ca9caa2d80873966d5a838a73
97:1312,stats-down-square,,,d2d45f034d5afd62d5d7c4c5239a309c494c826e
97:1317,stat-up,,,1c87097879ef78dbe3caeae60bb8cc17d08fb0ee
97:1320,stat-down,,,cd4d3ef8b8665df91ebaacea60a59230b5052be9
97:1323,stats-report,,,6838fce5e7284c6c9a54b8361f0062b87f25a2f4
97:1329,report-columns,,,d1b7973ea8b05c2d8694d6dd0ea84d37bb701fc1
97:1334,reports,,,23380d36ff754aebb439788252266045c1853f7a
101:1965,code,,,36e8ea6c38900cc8dee73324595e114edb235ab1
101:1969,unity,,,98350c1bfba44210f08fb3f9d157e7c64a134c30
101:1976,unity-5,,,8c992dd0f4ed8ca7a7355bc2265fece9c88127d4
101:1979,creative-commons,,,d15774c9a441d807a08d9bfac48babf6eda210d2
101:1983,css3,,,aab004028bd3f0ef99c08ca6783861aba41c171d
101:1988,html5,,,231ebadc11a2f93379dec12a2ff5b6a57bc7af34
101:1991,trello,,,d3da735135ae91110df8a9a4e74559c22509ac65
101:1995,asana,,,308b1f799be72c8066502d8fa83a8d497a719f11
101:1999,iconoir,,,30caaa975e7ba3ea7da92069244e2877c0317105
101:2002,electronics-chip,,,3a5465cc83735ec4b01cdb63a9bf6c553a4835f9
101:2014,electronics-transistor,,,001e69b79adfd7277fc96b5db5e2f8e429a0295f
101:2016,codepen,,,b7d0a3e9988549d156d09032639af3c9d2bd2ac8
101:2024,apple-swift,,,adc963e1a5d8f4fd978a624d061e5a1b80eefe72
101:2026,code-brackets,,,4ff290877a907636fd055c7952a0ec9c246fab98
101:2029,code-brackets-square,,,f8399ef4974ebbf1d739c937ec934b29d6b5afd6
101:2033,kanban-board,,,c4f9aabe28a264791c3ea31ca78762e72d1fd166
101:2039,puzzle,,,5352ee8ae16122b63394e7bb31977ace06befc4f
101:2048,npm,,,ae9f36b06c42110fa4e3af900fe3f3c667f62bba
101:2056,npm-square,,,122fbd064e301f4db8bcae8bbdfa9da76cc22bff
101:2060,slash,,,e99616fbaaeb8b2057d488d191dc1c5a6f64015d
101:2062,vue-js,,,18c9677a1380d3e7ced5f61adaac13fec4359e55
101:2065,dev-mode-phone,,,c5d7789df21b04b044b1faa176ed9cbc23f820e7
101:2071,dev-mode-laptop,,,c9a37d8acba983559c34cf2ace585724cdd1229d
101:2076,developer,,,4b5ec1cb40327a893a66375d1336ae83d974feec
107:1534,user,,,d5bad3ccd57d4a076d73817dd7d7964ee3cbfe53
107:1537,add-user,,,93db5ab8991fab7fa3b27a4de79e466be8d33a19
107:1541,remove-user,,,a61a57ac51f6b3f098c2f3afa03e9bf2180bfb55
107:1545,user-square,,,488ace34d8ad7c25cec9c60dc7caae7e61020a7b
107:1549,user-circle,,,f67a918d81addc97a8112e292e593d350d9db683
107:1553,profile-circle,,,75b9e93261ddc40fcdffcf58aced1dc0ed87ce29
107:1557,group,,,9a286ae8d34dc7cc11cb3836dcafc27ba4c2ad8f
107:1562,people-tag,,,316779d30caac05e8393a3b80a13db67e376b316
107:1567,verified-user,,,61f4a192a54ba20a79b519386f7bc15effd685c2
107:1572,community,,,5e3a5181fb3ffea764d0707b67366709c19d223f
107:1579,user-love,,,5f1e25b8151a9fc4addeb26616fa4e490cc300ad
107:1583,user-star,,,8c4ddf18df19e24895d35165e2f1b584ba041441
107:1588,user-crown,,,bff93553c11b4e3839d3eed04a817b53b6f99c44
107:1592,learning,,,ca10ce5d2a883cd691219a48ae9e1accae22821b
107:1623,emoji-look-right,,,84f4022a8152a85d3db3d8a4ee8a9b4cae1bae3e
107:1626,emoji-sing-right,,,ec74dbc3b8bf1cb42d2270608b9dde72723de198
107:1633,emoji-look-left,,,c37c1f581842d9de97f23a545c5109ccb81325a5
107:1636,emoji-sing-left,,,1c13732c2173fe28bca75d9ab8f8001d99b0df14
107:1641,emoji-look-up,,,704f339361c99c52468f2750edbb47f2d2ace817
107:1645,emoji-sing-right-note,,,16ae76d7f0b4242f9c215c7f066ecf74e86f8e13
107:1651,emoji-sad,,,0440c2ed743f9634baaec7c68df7afacac3d8113
107:1656,emoji-sing-left-note,,,c74b78e874237eac65fdc4d9d2455bb2a22c66e9
107:1662,emoji-quite,,,dea2b01c924cfef7edd2a1375496f11ea9711b60
107:1666,emoji-blink-left,,,95787fcb53bd579ac8513e9f962d9450c93c2ad6
107:1670,emoji-think-right,,,d69f9e8a592b769a5b2428838476f62679650582
107:1674,emoji-satisfied,,,ffc6f5a9f1cd2339f879c9340e816d9f30e187cc
107:1678,emoji-think-left,,,e27c56c6283dafd20aad1ca3d84754bdfc0476a0
107:1682,emoji-blink-right,,,8b273e8bd7323a07bf068a7e0426fb25263db612
107:1686,emoji-really,,,537a9eb93ee69bb7e24ad135f6fca7b4004361ba
107:1688,emoji-look-down,,,cb311d0c65e3989a2880935816b1ae9398599f73
107:1692,emoji-ball,,,d879bd7d2668e5f8a5e364421f1e405afefcb6e2
107:1694,emoji-talking-happy,,,92d4eedc8a8abf1f36193a2a2cdca61b5e59499b
107:1696,emoji-surprise,,,79a5ccc8c6bdfd830e22333cd3614b08479594e1
107:1701,emoji-talking-angry,,,15da15e21cd89810d97d8a2035510836ba0a77e3
107:1703,emoji-surprise-alt,,,ea509dd3886be5a3e311f410e959d22be8132691
107:1708,emoji,,,cd9868ed2b62b534a3663fe4c0a5a5eaa96c242d
107:1713,emoji-puzzled,,,68a72729102fbebacfc3c131e72bb31a2bd1acf0
130:1587,basketball,,,0de6106cea7e90f9969d1720a7ba438644de0b05
130:1593,basketball-alt,,,016f70e77b3b71ebce9b7c58fdea58b2a5e2e794
130:1599,no-smoking,,,e97a446f39127902919a241989e9bd0ce21e3202
130:1606,smoking,,,a00ab6a99543a6b7a7f0befb4834c07373ee8583
130:1612,tennis-ball,,,b7716c006d48f5c4e213e284de68ffa9dddb150b
130:1616,tennis-ball-alt,,,ea37f4e180b83ae3999e0b62eaf1f95478aef75b
130:1620,cinema-old,,,b0211c555364685d2637c17c86388ac1737a4a9e
130:1626,gym,,,2f43d9cbc5194ce238b7b19de9e685e8c1a55536
130:1632,movie,,,0d83fe83b1e79755c91486e81ea87d4f88c838f3
130:1640,soccer-ball,,,764dd8350b386676f7604fd988e5d350b40ac718
130:1642,sea-waves,,,0e84a5fb7a0c3bcca6e6cd6baaba2ab76e3a490d
130:1645,hourglass,,,ca44312b7cb69e3f383000730ac4cbed0fc61d37
130:1650,swimming,,,5192dd8fd29c58a3d62772b93f5258ffe796adcb
130:1655,sea-and-sun,,,16519e421a1d5f6b736a0791ed405133fef579eb
130:1659,football,,,60662dff98eed065e5c9a9026f47fd5f0027e61f
130:1663,football-ball,,,66c7bc7a8457830fbbf3e5e2cd6de3c6faf76807
130:1665,arrow-archery,,,886da1c3247b77775728a5cf6bf85c857844e62a
130:1667,rings,,,76273bbb24708562a043b2c805f131c77d6ab6cd
130:1670,golf,,,fa1e45a0d8c355200cd7cd0a31e21845f2e5eea9
130:1673,palette,,,327a68fb29856c3accb84229df44d41f67978844
130:1680,flower,,,b51f9464804369f9d80b2ef896e92e0fa40233f9
130:1691,walking,,,83bd52c779b6625000bd20552a510ddcfadbc72b
130:1696,cycling,,,a4447240c7ee86b363d932e67325112cb215c62f
130:1701,archery,,,572d6d9e86dffb21e50a5087bf285f0a302f8320
130:1705,running,,,c9821bdfa7d9681ec0579ae72db475518c84c7c6
130:1710,waist,,,a6234d713b3407cd25317efd9287531258d60cd9
130:1715,bowling-ball,,,f28ab3b88175d5b69e562adfbd0cd2106ecf8643
130:1720,Fishing,,,3def22dbcc8e2b761c8ab01701b672c008c05a3b
130:1722,skateboarding,,,ece6b6ebf932c23e31c4916858fb8902ea6afcfb
130:1730,trekking,,,ac74023046aef9df84e469e93d4de7510f4d2788
130:1736,leaderboard,,,b1ad31c4093bd02f289ab715f610755f1abe1dc0
130:1741,leaderboard-star,,,5cdf51b51521ebd8978e04fa49106375998bdb93
130:1746,1st-medal,,,934e3095ca1c2a5d8a863cfbf92e0b803c993549
130:1749,medal,,,e521deaca77c227821feb52479d78f8c9bb71ab7
130:1751,trophy,,,27d4db017a4b561bde29fa7b6e8cd5cc9ba8ad8e
130:1756,skateboard,,,942770465fcc276bc8569a0eb543f7e0e09c4682
130:1761,basketball-field,,,8c72f2486b1013d4b026f0fb6d0c537ad98dffb9
130:1766,treadmill,,,358a940ce691d417c6ff5fd0fbb84e405b82b1e6
130:1774,stretching,,,9d22de859a853bbedc5f76f02fda6c5c75391595
130:1778,boxing-glove,,,f77f06484eaafd49e774922fe6f2231c4bf067cd
130:1782,yoga,,,9167ef804e7a83b8164883cb2dbc709fc35eff59
130:1787,book,,,27bd6956d6549b0008d1a931e4ee6ee4c3191114
130:1793,math-book,,,f057c474077ca052a7201ddb5a86c6fe9f110d45
130:1801,bookmark-book,,,787dc75d618da50b3b7c35936de9b5f08cffd610
130:1807,favourite-book,,,3a52de3922c76e34bcaf80e2fbc32435266399e7
130:1813,locked-book,,,38fa9fbd240501cc69a8b567fd5640269036a473
130:1819,book-stack,,,d07b1d01546d813dbf06e50e4490d9cbc8d673da
130:1827,fire-flame,,,214f6c0db8b9f2b805b5317451e0d8233d397a43
130:1831,bonfire,,,f5797afad342cfccf4673267731283a82986a30f
130:1837,open-book,,,7617803a31c19eb82d609dd09b1a489bd662fffa
130:1844,no-smoking-circle,,,ae2b7d6b64138cb05bea3e47c38f7e3a907b406f
130:1853,birthday-cake,,,b9ac0e21edd053215abee344a0c33605cabfa2ad
130:3186,frame-alt,,,540934113122439c79ed46a54eb526d07f0bff72
130:3192,center-align,,,f81706f38e5511448672b85a7d4d73f9dbbb8a16
130:3210,position-align,,,752c283cd06aab3f5674ffb05fe91a7abf4ffa9f
130:3228,align-left-box,,,5abadab9c9f23ba8a9813c4a6e25f0a1bd3c6c21
130:3237,align-right-box,,,5906daff2efbba444011c830de51e6e905808e2d
130:3246,align-bottom-box,,,d0249df02008f1003bdbc407e65aa5255c2229b3
130:3255,align-top-box,,,281396fae52e722964d2fea50efcc5a7fedf73db
130:3264,border-tl,,,35914dd295de3f4b999facc77531c3fc64634314
130:3273,union-horiz-alt,,,c4ab149168dd8bfbbb7b4384c72570a67bd8722a
130:3276,union-alt,,,9dc542da30042cc871364cccbdd8ebf7d98e03c1
130:3279,union,,,641e8a76353352835bed04879b3039ac37d9b7e5
130:3282,combine,,,bf1fd6a4f7656ae2714f0bea27ebcfcd65c58ccd
130:3286,crop-rotate-tr,,,c085bb5cbc89ad4404b9a70a887468bc95373601
130:3293,crop-rotate-bl,,,374aa321a982d096332d93ac95495db458c2ad24
130:3300,crop-rotate-tl,,,e8ac3e810c67db2be582fbdf3f686d558499d4f3
130:3307,crop-rotate-br,,,346b8474d4f6270ed559e15c48cf0814e9ab4bfd
130:3314,lens,,,2770990b8a8062fc454822835775a87b7bfa9876
130:3318,add-lens,,,cecd89f31fc886d08bd7a3224a722337b90be341
130:3323,frame-alt-empty,,,707974cc392d6218157b9a42e46834362f38b196
130:3328,border-bl,,,8b35b850afcd031d77957f88d91100f7c606b6e0
130:3337,border-br,,,1c718a8d39dc759e42a07875758c77557341b663
130:3346,border-tr,,,e41b5397eba438f5269c0db9fc842b1097613ae5
130:3355,border-inner,,,d8e0bb4c5092119ecb8cc96a840c8c469f9510b0
130:3369,border-bottom,,,d1f4c6b02235960354854e51ed4cccba3c83539e
130:3384,border-top,,,9d98644e0bee1b5f42955a45c4307232df7e0935
130:3399,border-right,,,3f9c75b1b5a9d7354370f45901eeeaafea60eb16
130:3413,border-left,,,704f22ba4b474ae84bfe79125ec207298b2924c6
130:3427,horiz-distribution-left,,,0251740a446c05247247288ae31683525c7350fb
130:3430,horiz-distribution-right,,,fbbbcafdb3262c8a6323cf2e093641f14c2dee82
130:3433,ruler-add,,,414e1757f9895335017be60603cba2d0a18b4e0c
130:3436,ruler-remove,,,63c92f9be867be49c700ebb9adbf5ce4d377494f
130:3439,move-ruler,,,03602de31647302d347817c2ccff756e065c5ee0
130:3445,ruler,,,a0338c847179d4dc1832a6ee32c2001a52022597
130:3447,ruler-combine,,,2c7899a31ea7764ce0708c3c4a272d928ca0c48e
130:3453,color-picker-empty,,,3f5c3f8bd5044381360358770d4227a6a6aafcb2
130:3456,droplet,,,3eddf5a8e6c263e75cb76430f6d9ae645e8489f4
130:3459,color-picker,,,b919de8b1c28439c22846c00b7194cce6f776007
130:3462,frame-tool,,,5f8c029ca757d0663c6d980c19916617d0f8db00
130:3464,cut-alt,,,bd53fc8a71f4e221e3368e5f16c8e2871cc8c753
130:3469,cut,,,859be24e62258d168c90ad42ad6fea6b60844bae
130:3474,collage-frame,,,41ede6e20399deeb916b1666dc64aa75b62d8a1c
130:3478,color-filter,,,349a74dcb7f5bb9a490065e11bae0939e9d7b678
130:3482,border-out,,,e739ed8a979f12b61fd5e9295efb40d79e65fb79
130:3489,intersect,,,5717a45973c2bf38c03dfe75ae4a09a733ff79e5
130:3500,exclude,,,0712ec92c6d389b66aff9dd3717d04c98598a1db
130:3505,substract,,,6c685d4f7bd14c151ba5daa3b0d9a4d4caf2addf
130:3513,precision-tool,,,9f2a6617d5dc8ea6bd4d599545d81361dda47279
130:3519,droplet-half,,,f28db6672c98b0f38035599e0302948894831259
130:3523,mask-square,,,fb8d623abdb10f5b1813fc2f379a974dba1afd43
130:3526,intersect-alt,,,2bf59214fd4aa45f94be3562f659619bbcf9d527
130:3543,flip,,,bdc28b1be2a130eed54e583e82580a228002024b
130:3550,flip-reverse,,,837c94c2dc5b92233fce0b823a4b14ead470e666
130:3557,copy,,,67776cab79218e9f4cf748aeacde436e1ed2f5c2
130:3560,crop,,,ecbc5648c3539954bd572a3287e0b07c48ebdc41
130:3563,selective-tool,,,96bfbc77f492057c77ed9d0dbab2c1a1842a0190
130:3566,figma,,,aecabe0146e4dc02a73bf6738cd38cb4ea95aca4
130:3572,design-pencil,,,9bdfaeea08a6d3e89ff1cdaa59586834181522bb
130:3576,frame-simple,,,2a48cd9cc4f68e59569b15dbd54287f9294b8687
130:3585,frame,,,f1d4d677674ffd0f32030a698d899b3fdc6c15c2
130:3602,frame-select,,,f21a77ac076dc6d411eb1d4458b8549806dc249e
130:3614,fill-color,,,2098f4644a3500f6d3c3ece639b9b5bf775a6564
130:3618,color-wheel,,,def17fdb2a391ba90ac06b864fc385d171c4c4b0
130:3629,magic-wand,,,3cd025da31b3ac86dbed5ee44afec06e605ca800
130:3633,adobe-lightroom,,,e69794b2f0eaeed41bc4451117418cdb7cc46e42
130:3637,adobe-xd,,,61cadf39e94ff877bfe8b1361dc2900e7a286a55
130:3641,add-frame,,,31d206f89c4365dd6f9222a9a1debf1b9eee9116
130:3651,remove-frame,,,a40852530ba8be9294112a774db958f4bd652aee
130:3661,style-border,,,359a3200372b129741156121af25725787c02875
130:3664,scale-frame-enlarge,,,9d86bb19d3dce1b723c073735fdc13c471308e88
130:3674,scale-frame-reduce,,,167936d9fa706c6a8572991d267a8b5053548194
130:3680,axes,,,d1b995f50dabcf6c0e8bc8201c09360a3d494574
130:3685,design-nib,,,08a0780bf1ff442c62c4c6e1b5b46a0bfc7dc759
130:3691,adobe-indesign,,,bf874de1b6d172d8343e0c33a96c2589306cf72a
130:3695,adobe-photoshop,,,4571c807917972ee579290207bf460eb79b80ab2
130:3699,adobe-illustrator,,,e215ec12f5c0b6698db7d367801a966c3fdb9aa6
130:3704,adobe-after-effects,,,2494d6d62aeb2dc73707dce66579077c456f0fe5
130:1865,3d-rect-three-pts,,,1132a3e6ead08c22b55ff9958377de3a9b686d89
130:1875,3d-select-point,,,3fc2a6b9a193120fa561c39a3c48292421db19d5
130:1878,3d-select-edge,,,e894d9684928e2b063f22bba1a5e5d16a8dd17c1
130:1882,3d-select-face,,,f5f9da65a68db8e2968b1b93d8fadca6c89daba4
130:1887,3d-select-solid,,,e31d1e7a832f5a830daa9d62a72b3f6cb9b27082
130:1891,xray-view,,,2632239c592f9611c4e8eb7a2582b7474a2b1846
130:1896,orthogonal-view,,,f1fcc4555a5cd9ed5c5196889188949005291f14
130:1904,perspective-view,,,a69d831e270c49f7c64f97bfdb17533823cb97c9
130:1912,one-point-circle,,,9170830c86202d5e62db11b95d92ab2742eb98b1
130:1917,two-points-circle,,,79ff6cd81518c56aa6dc8ca339bf711d5f68a54f
130:1926,three-points-circle,,,1107c92489c477e42d80a7bce8dc51fc1f3e0f4b
130:1935,cylinder,,,45c21cfa74404adc525cb027ef66797795df94c7
130:1941,3d-pt-box,,,32ba9135fde4e14a8819f37daf759c60a169e23e
130:1946,3d-arc-center-pt,,,3a313e4d878ee2ba86ffe7f37f232bd1656b088d
130:1951,3d-ellipse,,,3dfe54985788974177a34dc209f37c7371bb4843
130:1955,3d-ellipse-three-pts,,,cb009b980c780d86018364c41a4327c27a4f7231
130:1963,3d-add-hole,,,300a624dff91548967512350663620c990cb69ce
130:1968,sigma-function,,,823d64c611f2dd6abd7604587541c83d0c67bc8c
130:1972,3d-bridge,,,13475ad1c53d640db353a7e2e5754890ec7a0d7e
130:1978,sphere,,,790df80b524775d14da70e16a38063005be80004
130:1981,3d-center-box,,,032c5a3f9accf5d22e8ad2b87bd284b8a5be8c27
130:1988,3d-rect-corner-to-corner,,,2fdf7a48825e7febfa06e9322c226b3828ec55b1
130:1992,3d-rect-from-center,,,613e8e5af88c8385f7fe4fa3edf3e8a4aa82c582
130:1995,3d-three-pts-box,,,9b9232497bcd61075122a3cbe9ec40e02a32cb72
130:2003,spiral,,,cfea41739c04484c14416ddadfb344916413dbb8
130:2011,3d-arc,,,f558985dd536844310474a87153f47abe15f5c17
130:2245,transition-right,,,1bf7da01171f2368b300e1504c1523a8e4261f2e
130:2249,transition-left,,,22bf40d6143fd068f2b3e79733212e3467a05324
130:2253,transition-up,,,48704a8716c4a24112f449ef502588afc0e92971
130:2257,transition-down,,,ba740e39eefcffa1ad3388de13f1bbfc2851740e
130:2261,bounce-right,,,9bbda3a95bf39a363b7171274506cd9b9a1a6f35
130:2264,bounce-left,,,c764d99636fa153272b002540b86f6ce3b01fc29
130:2267,move-right,,,e80ca56c12caa47459351e42440e9e1bc0447061
130:2270,move-left,,,96dd4eefe275908b4c32587ccb5d03b09a47d07f
130:2273,move-up,,,cdee8bb96c2487daa1be6b4a52f66cfd0f258629
130:2276,move-down,,,5e38ca23154b8b33646f9c9560e5f6b2d990c708
130:2279,add-keyframe,,,32856ffcff2c767c3530c696e82954906c9ac7b3
130:2282,keyframe,,,725f96d9b3986f68624d6c9b9d1980f06c477c82
130:2285,keyframes,,,088529e40cc83765881afe226083694cb8cc8c4c
130:2289,add-keyframes,,,168918c6ddb32e7eaccf2f39c51dc4ef1a6cd652
130:2294,remove-keyframes,,,c5d165a48d5f5ac0a1a9ebe792a78371ddff2eef
130:2299,keyframes-couple,,,b88453e8b835b6e00a22d43c71d657967a9d4b58
130:2302,ease-curve-control-points,,,c374ed1e09b7aa7cfe6755c61ac07e40ca4212f0
130:2308,remove-keyframe-alt,,,4806e8868e95e01a06e59d829509780080cb92e4
130:2311,add-keyframe,,,2910b46f5ed5acb8a3a7e3f411163c0a3a987397
130:2314,remove-keyframe,,,6bcee663cb2e7879cbb19e4fa140df25aa69b87f
130:2317,keyframe-position,,,c1eb3d41dc9fdb0bd4c3236a2e02f3f96c929496
130:2320,keyframe-align-center,,,29fc11bcf674b6517c5b5b2ceb4632b7211e9465
130:2326,keyframe-align-horizontal,,,d28b528cea704e09777b663002e29700326df3e6
130:2330,keyframe-align-vertical,,,356d4d6290148055475cdc84e03e4de19c0f650c
130:2335,ease-in-out,,,6882e9b2ce38def6021053e5ec184e032787a87b
130:2337,linear,,,ee132c3beb84d08b79e22c44f765ab360b243c99
130:2339,ease-in,,,e1b2af22c8397a06940b2e826a41aa945c70d69d
130:2341,ease-out,,,ece2cf3cf62a9cbb1815dd68402506952d209d28
130:2343,ease-in-control-point,,,571050bf221576753cb6a0856e0b7a70d6c0c05a
130:2347,ease-out-control-point,,,4a1b2a6c55b314ea1e2e4339a63247e79cbfc56f
130:2351,add-keyframe-alt,,,9dbb318d645c038d2a5facdd5560569fc1c1d25b
130:2358,mic,,,61d0f8b1522b86b9288dabe11ee55c16c790cd06
130:2362,mic-mute,,,76d84b4fb6bbe389d24a0ebe2c1bd7ac59e17218
130:2367,mic-speaking,,,1d1fe1d5594bcf14a517e88c062fe44b44dba702
130:2372,mic-add,,,10f754bb1b8c8cf873342c01749bd34d31ce8fe0
130:2377,mic-remove,,,ff6386c5cd954ccf670433101f3758fced0a19be
130:2382,mic-check,,,aece88950cfd067573e85faf1051775ba297468a
130:2387,mic-warning,,,07a7ed7fc0bc98cc49a2961e159b92fef2adf522
130:2393,sound-min,,,9a8fc40745328da95761d52f1de6788703318fa1
130:2396,sound-off,,,93784f6ad714f58865fcc520e2b64c4e05f5a1ba
130:2399,sound-high,,,ff302629e38c9b921994033bc3e0c32762d25265
130:2403,sound-low,,,440c19d8c1d892f68c0a843e7d0e9bf63871cae5
130:2410,fish,,,b509cd0c3a89f8aacd61c9000e3ced2bfa918085
130:2414,jellyfish,,,0bb00f6f5eaa2f08a813b066874f877e13392f71
130:2419,wolf,,,2e01e37af10a6b54c3ad751f0d9773c5dce47f2c
130:2428,hospital,,,3a81d217e4ab257d7c01bdcde2aff3137f26735d
130:2437,church,,,7bdd6047f2af06f104e3c0111b234adb92003342
130:2444,church-alt,,,6e3b63dcc7427937645dfe4d252de43355a585d1
130:2450,shop,,,ca8cdce83aac40a8883f38318dba06d9351ec2f8
130:2456,shop-alt,,,81560517853bd262956a19920b0b7fcdb160083c
130:2463,small-shop,,,02dcfd25490a7b6268779b9631102b2185a29dd2
130:2468,small-shop-alt,,,4b968634b297990d3b34b219288495bbe0315c69
130:2474,building,,,5711bff91658d0859a202cf88c7a2b1e2e2a8e90
130:2482,city,,,f0262bce99b439f69413f5c45249e103d6bfd7ca
130:2490,industry,,,9754e329b9fed395396f560f0e2907633e39d76d
130:2494,farm,,,0b3184a8f48cd70ec4cd58a564ac713a9f72c076
130:2499,oil-industry,,,769b26585282f9ac5e29f7912ab3b0f19aaae37d
130:2505,garage,,,00ad625e160ac4a8985fa2e46644f72ea6e68910
130:2507,tunnel,,,94b493999d8e41a4fadf0c9ebbe13cfe3d38ea05
130:2513,elevator,,,74f1fc2e1d502b7f64f36d42a372534bf354910e
130:2518,planimetry,,,2df072513f52fc06e9ca40e5fa522acf9e49f383
130:2527,house-rooms,,,2a580e335a5bc45afba25c15e3f6e2da050bac21
130:2535,neighbourhood,,,c9d1296101c090c2ad302122455206cdecf28316
130:2541,balcony,,,982e4f70eae3ff2fa45e7abba4cd0d5935b5e171
130:2550,bathroom,,,cd913de31713f02bf8f616de6c3509fb8f275445
130:2556,cellar,,,ef5f87f969a92714fc66edc4177e62367e98f110
130:2565,agile,,,49e32da1936bf3c959f7e7d34ed05e9ce031f6d7
130:2570,high-priority,,,b0181b109882526e57d05ab8d51dc23b1a8020c9
130:2574,priority-up,,,be33b86cabac55cda5856d362586b3d0513fbfce
130:2577,priority-down,,,3a5ead1d95215ca4ee8fa27e8c283492f21f94f3
130:2580,presentation,,,f32ab4f138fc75a86842ea07e2169071f1de5a97
130:2587,strategy,,,e6d6a6f44d0b730eb2558e79fb03fa72508957c1
130:2592,okrs,,,9e5bd9550839090e14b382e816d8211a593b1fad
130:2599,medium-priority,,,53b6a4219117b42b44f94ece13411b0776f12f74
130:2607,short-pants,,,c2d014b92c1564901567889c9eb60590318b49d2
130:2611,pants-alt,,,4a9184b99fecadc6a3548b91dbfe577e3d3a3be7
130:2613,short-pants-alt,,,f52c2f0ad8d706ea6af5a5ea8e4e05f090fd1d4d
130:2615,pants,,,878f022137e676928805a672ac8633d9a79bb2bc
130:2619,bag,,,02d1b5af3f4ea9f3bbde9fa8443b4e24546ecb6a
130:2622,glasses,,,108edef78a92cb9617ddfac828964b26f1fc4c59
130:2626,large-suitcase,,,a8c3fa58b0c41f090a401bf79657e3eacffa568a
130:2628,handbag,,,669fede89c6cd1ad415540182bfc598af89a0a85
130:2630,umbrella-full,,,bda23ccb50a6cfa5930be68682e5d0cd1dfcf323
130:2633,sandals,,,6ae88eced04e71c940fe6561446509504fdb592a
130:2636,her-slips,,,cd717cfed655b2832485f8a159fc330c56c9f2d1
130:2638,scarf,,,6df285cf935047fd5623dc0f3cee91f17991d4a3
130:2644,beach-bag,,,ad0ee127150d57872710439633b2a2d6dbfd8554
130:2647,beach-bag-big,,,8f8d849c04be1f3fb654c51da115fa0ca165f5ab
130:2649,hat,,,3021db7aad32a5b558847baafe136fbfc72ddfc1
130:2652,women-t-shirt,,,4f4ec3e1e3259df4c253153c67ba1a23bc281cc7
130:2656,t-shirt,,,ca5f7a564a1c574d123a9b284880e6acbc3897b5
130:2664,cloud-upload,,,8cef52990dd0874e22c02750f47637b0541f6e95
130:2667,cloud-download,,,2665586197dca1a051ece443fea1e81d2f74683a
130:2670,cloud-error,,,5e7298f9efde055f3670fcace5e99042d072706e
130:2673,cloud-sync,,,4095d8dacc99058cd96bde418d38ac7640a0b955
130:2679,cloud-desync,,,00f77519c5975e7cb456a64ac3dd901a7ef4536e
130:2685,cloud-book-alt,,,2ca24513eeacb51cc28259cfa615955fd9721dc3
130:2688,cloud-check,,,d57c57cd50c033929c5ccbd2a6499d2cb9a5f644
130:2691,google-drive,,,9ba442e03e625947718176162288ac9def9dbb0e
130:2693,google-drive-sync,,,e533cdaa7f9f3531b6071e2d2448e3c62cf4bd47
