id,name,description,component_set_id,key
2633:5705,Property 1=Default,,2633:5715,f234f43411689cf7215c2769fc74297f8e96910d
57:1772,search,,,891db9bf40e5f90f039c3ea28bff89426958514b
2769:6028,"Size=Small, State=Choose",,2769:6065,f3550599053ff6c6d363420eda823b83998c9382
2769:6063,"Size=Small, State=Default",,2769:6065,07c7451392c3508520d89e85f27ef7a443653f99
2675:6882,Size=Big,,2675:6881,abd26145d993f4b58be2813f841c9efd255d1b3d
2448:3184,Type=user-circle,,2448:3180,f8aca49d652acfef7712804b900763ccaed37723
2443:4253,Type=nav-arrow-up,,2443:4264,cd35f60bf5ab5e78a3140db695081c203a36f884
2675:6866,Property 1=Choose,,2675:6861,24d4072bc708936376f35b885f69666fdc6adafb
2675:6862,Property 1=Default,,2675:6861,795411ce541f11fa069010ba5c8504ad93893b58
2675:6871,Property 1=Hover,,2675:6861,1a868ec4d4eff641aa95362a642936b6bc5402e5
2675:6886,Size=Small,,2675:6881,2c337545082f0c6dc70895fb66e650c80e53d66c
2633:5704,Property 1=Hover,,2633:5715,22d0d8352c758881308a96a3002b0bd92a389ea7
2633:5702,Property 1=Typing,,2633:5715,7e69b0f3f535902c0e722f53b60bef627a4cd322
2633:5703,Property 1=Focus,,2633:5715,f673b2ae8178e084689775b1ee909b0e1754beb1
101:1647,"Size=Medium, State=Default, Content=Icons + Text, Style=Filled",,94:1634,a43547ce6c8a27678333ea5099837235fb0468e0
78:1319,cancel,,,f6b2862b74a1b2d6b53a38cf48c3b3f6b0e4e318
2985:7981,Property 1=Default,,2985:7984,31cc3e3f612750d7059a95a8053aa0224cf9c626
34:1085,"Size=Giant, State=Default, Content=Icons + Text, Style=Filled",,34:1219,a4d591dd3af0559cfe74209f3bba3cdfe7e5ec22
36:688,"Size=Giant, State=Default, Content=Icons + Text, Style=Outline",,34:1219,951fdae157958e584235467b9bdabc7bf4b2d3b7
2513:2448,Property 1=Default,,2513:2449,b5276d19ea01a358add38da695728df979e431a2
2497:7903,"Type=IOS, Color=Grey",,2497:7904,e1b144152e5743db5c9d53764429373d1b76271e
2497:7905,"Type=Android, Color=Grey",,2497:7904,09cb492b397f9fb642b0c6bed7960194c9c27ee4
2519:5598,"Type=Smart TV, Color=Grey",,2497:7904,13a2f513fe1a319a28b075fc41f13caf6144e7ba
2531:6580,"Type=TV Box, Color=Grey",,2497:7904,c5e338c633b881459b4074261c93323ebc4cda56
2675:6788,"Type=Web, Color=Grey",,2497:7904,164e0282b402c8175c6c0c248dedf200d87e1830
2531:6603,"Property 1=Default, Type=Img",,2497:7641,3dd886460648273dfeec5191329a7da03554bf4e
2405:2768,State=Expand,,2443:4156,7a5297bc37f3368d39aee9d4d1d897757c537184
2405:2767,State=Default,,2443:4156,3b39596c0b4ac158b40d519aca469664d63196d8
2531:8167,"Type=Tech, State=1",,2531:8160,5d8577fc9240491aba1ba260711727be23595e31
52:811,"Position=Left, Size=Medium, Style=1, State=Selected, Content=Icons + Text",,48:1588,0ac260c372fe44c603cf6912493f3413cef97502
231:4151,List (5 Rows),,,eb320e5e062a70ff5a823c0c3cce029dca5ebb70
230:3931,Property 1=Default,,3139:10806,46c5c0beb99ef07526996e34dbb26554840caaa6
230:3913,Right Item=Text + Icon,,230:3919,d6c65355db0d9ef17a0433c4cd94cfab74f5f18f
34:859,nav-arrow-right,,,4daf991ac97f06aad478b37ad18ec28a001e9a8e
3139:10869,Property 1=Choose,,3139:10806,8b5f17aabe0b04f8041ade3a00f204e4e1fddc6f
230:3884,Left Item=Avatar + Text,,230:3882,0576123a1e67c8bcd709b32cb60665d37f54a90b
34:1269,"Size=Small, State=Default, Content=Icons + Text, Style=Filled",,34:1219,e53db43c2d606adce1e779de6419a6e1edaf2ae9
2995:9074,Property 1=Default,,2995:9075,b81b48271d4d229e4d37e24a6ec688364e922d5d
2995:9108,Property 1=Default,,2995:9109,271b0b45664d07cefb9484bed4500aafad323434
2995:9110,Property 1=Variant2,,2995:9109,afb86e3e35e4630c52b202bf2b21e5bee54b22f5
2903:8431,Menu,,,7eecce1f5751d75985928e71f81c51ee5e7bac80
2903:8481,Property 1=Menu Hide,,2903:8433,c857d6441082e686004b18626df7979b4bb58187
2903:8434,Property 1=MMenu Expand,,2903:8433,884c56c45601c42fcdaae1fe612f062ac82b33ae
3043:9722,Property 1=Default,,3043:9724,403012022b172979abc8f6ae94004106f7e88d33
2626:10317,Property 1=Default,,2626:10316,17bbd1dad5a510bd15d24339b1de895eaddbdbc6
2626:10328,Property 1=Design,,2626:10327,b25178a602c1113f0d1d58fbac10c1f9c56772e5
2626:10334,Property 1=Integration,,2626:10327,674cf597542b50e617e02bacab526073eadb4d4f
2626:10351,Property 1=Measurement,,2626:10327,dc945a4925e88d746c647ca2554a80714b795e83
2626:10360,Property 1=Protect,,2626:10327,5dfdd62af17287012b232197f973f5c196c60aef
2497:8112,tv,,,fc7a50e7c861ffe0193f38d242164f278dd68cd5
2404:2594,Property 1=Dark mode,,2404:2579,fa79dc381b732e0bf78049257552404a53fc9aec
2404:2622,Property 1=Black,,2404:2579,27e47d855a295414bc0b9ec976e4d55f1bd79bf0
277:3078,"Size=Large, State=Default",,2439:2812,0063ee63312bbeff1ffef4c9d03474ad70fb503e
277:3072,Image,,,7ef2aa33d538007374c9672a8f6edaff1c81eaa1
34:1241,"Size=Large, State=Default, Content=Icons + Text, Style=Filled",,34:1219,3e825933376c1821b46d24958cbde05b4f38b799
36:693,"Size=Large, State=Default, Content=Icons + Text, Style=Outline",,34:1219,f2259d10689bb1fea7f34cdd907b11294fa6f90a
279:2933,Card (Horizontal - Small),,,45fac869208afdf89cf9f1509c94e67f17a4ffc4
2439:2848,"Size=Large, State=Hover",,2439:2812,1e6979ecee5f1107f34a9517afa80c8b01a40133
2439:2813,"Size=Medium, State=Default",,2439:2812,181803fbbd456f1a4a01025612da0c10f2c139f9
2443:3807,"State=Default, Color=White, Size=Big",,2443:3806,b03f13a63be942fc0f040aed9f1b514720fdc51e
2443:2994,Property 1=Default,,2443:2993,a8514a0f1a952c6170ed46aa06164924e6eda9aa
2443:3332,"Size=Large, State=Default, Content=Icons + Text, Style=Solid",,2443:3051,aeec12181f285a01cf2323c596e37a71d352e82c
2443:3016,arrow-left,,,bc778104fd80de0ad369818e5c1f7761afac212b
2443:3020,arrow-right,,,b73d693b5d4bf2e234a5c790f93dcf83370fe861
2443:3818,"State=Hover, Color=White, Size=Big",,2443:3806,9a8b470d54d5fff5fea9178df37897933448954b
2443:3829,"State=Default, Color=Blue, Size=Big",,2443:3806,090d39272a1a19f1ce9e1c89ca8936f57a38b841
2443:3840,"State=Hover, Color=Blue, Size=Big",,2443:3806,0f056ed82d5dc4e93f6e42a898d89ccf06e2dba5
2443:3851,"State=Default, Color=White, Size=Small",,2443:3806,6f7b3e47bab750a250a4645cdcb6e968747e8eba
