page,node_id,path,characters,font_family,font_weight,font_size,color
🔵 UI_Phase 1,I2753:5424;2531:9882;2445:2775,Contact/Contact/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading/Button,SDK,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2753:5424;2531:9883;2445:2775,Contact/Contact/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading/Button,Demo,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2753:5424;2531:9884;2445:2775,Contact/Contact/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading/Button,Liên hệ,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2753:5424;2531:9885;2531:6499,Contact/Contact/Footer Desk/Frame 92/Frame 2147224758/Button of Nav Heading/Button,Đăng ký Demo,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2753:5424;2531:9887,Contact/Contact/Footer Desk/Frame 90/Liên hệ,Liên hệ,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2753:5424;2531:9897,"Contact/Contact/Footer Desk/Frame 90/Frame 1410103937/Frame 34/96 Hoàng Ngân, Yên Hoà, Cầu Giấy - Hà Nội","96 Hoàng Ngân, Yên Hoà, Cầu Giấy - Hà Nội",Inter,400,12.0,#FFFFFF
🔵 UI_Phase 1,I2753:5424;2531:9900,Contact/Contact/Footer Desk/Frame 2087326390/© Wiivent 2026,© Wiivent 2026,Inter,400,14.0,#FFFFFF
🔵 UI_Phase 1,I2753:5424;2531:10029;2445:2487,Contact/Contact/Footer Desk/Frame 2087326390/Back Button/Symbol,,Font Awesome 5 Free,900,16.0,#FFFFFF
🔵 UI_Phase 1,I2448:7643;2445:2787;2445:2775,Contact/Contact/Frame 2147224759/Frame 2147224758/Button of Nav Heading/Button,SDK,Bai Jamjuree,600,16.0,#131927
🔵 UI_Phase 1,I2448:7643;2445:2794;2445:2775,Contact/Contact/Frame 2147224759/Frame 2147224758/Button of Nav Heading/Button,Demo,Bai Jamjuree,600,16.0,#131927
🔵 UI_Phase 1,I2448:7643;2445:2801;2445:2775,Contact/Contact/Frame 2147224759/Frame 2147224758/Button of Nav Heading/Button,Liên hệ,Bai Jamjuree,600,16.0,#131927
